片名,导演,影评,人数
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,希望让人自由。,1324080人
霸王别姬,陈凯歌 Kaige Chen,风华绝代。,977344人
这个杀手不太冷,吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。,1212146人
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。,1042692人
美丽人生,罗伯托·贝尼尼 Roberto Benigni,最美的谎言。,610201人
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。 ,979687人
千与千寻,宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。 ,970528人
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。,545156人
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,诺兰给了我们一场无法盗取的梦。,1056667人
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,永远都不能忘记你所爱的人。,689645人
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,小瓦力，大人生。,701243人
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,英俊版憨豆，高情商版谢耳朵。,944818人
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,781043人
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,天籁一般的童声，是最接近上帝的存在。 ,652858人
楚门的世界,彼得·威尔 Peter Weir,如果再也不能见到你，祝你早安，午安，晚安。,714579人
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,一生所爱。,727973人
星际穿越,克里斯托弗·诺兰 Christopher Nolan,爱是一种力量，让我们超越时空感知它的存在。,740798人
龙猫,宫崎骏 Hayao Miyazaki,人人心中都有个龙猫，童年就永远不会消失。,642612人
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,千万不要记恨你的对手，这样会让你失去理智。,475448人
熔炉,黄东赫 Dong-hyuk Hwang,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,415336人
无间道,刘伟强 / 麦兆辉,香港电影史上永不过时的杰作。,596942人
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,平民励志片。 ,763286人
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,810211人
怦然心动,罗伯·莱纳 Rob Reiner,真正的幸福是来自内心深处。,837947人
触不可及,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,满满温情的高雅喜剧。,501199人
乱世佳人,克里斯托弗·诺兰 Christopher Nolan,Tomorrow is another day.,355804人
蝙蝠侠：黑暗骑士,张艺谋 Yimou Zhang,无尽的黑暗。,484569人
活着,李安 Ang Lee,张艺谋最好的电影。,391201人
少年派的奇幻漂流,朱塞佩·托纳多雷 Giuseppe Tornatore,瑰丽壮观、无人能及的冒险之旅。,771039人
天堂电影院,姜文 Wen Jiang,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,385643人
鬼子来了,Sidney Lumet,对敌人的仁慈，就是对自己残忍。,321197人
十二怒汉,比利·怀尔德 Billy Wilder,1957年的理想主义。 ,229689人
控方证人,彼得·杰克逊 Peter Jackson,比利·怀德满分作品。,163143人
指环王3：王者无敌,宫崎骏 Hayao Miyazaki,史诗的终章。,385175人
天空之城,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,对天空的追逐，永不停止。 ,450773人
飞屋环游记,大卫·芬奇 David Fincher,最后那些最无聊的事情，才是最值得怀念的。 ,686720人
搏击俱乐部,刘镇伟 Jeffrey Lau,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,498636人
大话西游之月光宝盒,涅提·蒂瓦里 Nitesh Tiwari,旷古烁今。,586912人
摔跤吧！爸爸,威廉·惠勒 William Wyler,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,722057人
罗马假日,宫崎骏 Hayao Miyazaki,爱情哪怕只有一天。,515921人
哈尔的移动城堡,马丁·布莱斯 Martin Brest,带着心爱的人在天空飞翔。,495043人
窃听风暴,杨宇硕 Woo-seok Yang,别样人生。,306664人
闻香识女人,Guy Ritchie,史上最美的探戈。,438484人
辩护人,米洛斯·福尔曼 Miloš Forman,电影的现实意义大过电影本身。,302671人
两杆大烟枪,彼得·威尔 Peter Weir,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,341628人
飞越疯人院,詹姆斯·麦克特格 James McTeigue,自由万岁。,344695人
死亡诗社,彼得·杰克逊 Peter Jackson,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,374578人
V字仇杀队,弗朗西斯·福特·科波拉 Francis Ford Coppola,一张面具背后的理想与革命。,571260人
